Activity,accXDC,accYDC,accZDC,accXfrqE,accXfrqLoc,accYfrqE,accYfrqLoc,accZfrqE,accZfrqLoc,accXstd,accYstd,accZstd
walking,-1.7631,-9.576,-1.8907,1.7727,0,9.5912,0,1.882,1.8762,2.497,4.4608,2.5054
walking,-1.7199,-9.5342,-1.7768,1.6792,0,9.5581,0,1.7799,0,2.4884,3.5571,2.2169
walking,-1.7776,-9.6367,-1.7812,1.7299,0,9.6368,0,1.8782,1.8587,2.618,4.5587,2.5003
walking,-1.7656,-9.6304,-1.8205,1.7931,0,9.636,0,1.8725,1.8797,2.5902,4.4333,2.4984
walking,-1.7994,-9.625,-1.7796,1.7457,0,9.5776,0,1.8772,1.8657,2.5112,4.4158,2.4825
walking,-1.767,-9.6334,-1.816,1.7705,0,9.5657,0,2.0598,1.8587,2.5579,4.6971,2.513
walking,-1.7562,-9.6023,-1.7747,1.7449,0,9.5593,0,1.93,1.8727,2.4922,4.5253,2.5434
walking,-1.8437,-9.6022,-1.8065,1.7803,0,9.5983,0,1.9277,1.8657,2.7088,5.1195,3.1027
walking,-1.862,-9.4954,-1.748,1.8935,0,9.5402,0,1.7456,0,2.5456,4.7936,2.3617
walking,-1.9172,-9.5765,-1.8211,1.9267,0,9.5989,0,1.9188,1.8762,2.3586,4.4818,2.4057
walking,-2.0277,-9.5165,-1.8549,2.0486,0,9.5472,0,1.8479,0,2.4861,4.41,2.3051
walking,-1.9386,-9.5276,-2.0212,1.9586,0,9.5573,0,2.0226,0,2.7695,4.3283,2.441
walking,-1.6672,-9.5417,-1.8764,1.675,0,9.5117,0,1.8767,0,2.5252,3.5069,2.1631
walking,-1.9574,-9.4883,-1.9474,1.9735,0,9.4747,0,1.9888,0,2.6897,4.4889,2.2337
walking,-1.7454,-9.5721,-1.9814,1.8098,4.6904,9.5954,0,1.9746,0,2.4812,3.8978,2.1366
walking,-1.7949,-9.5321,-1.9424,2.2064,4.6555,9.4751,0,1.9368,0,2.6384,3.972,2.1453
walking,-1.7875,-9.5363,-1.9121,2.0534,4.6904,9.4874,0,1.9328,1.8762,2.6288,3.8296,2.3099
walking,-1.7528,-9.4972,-1.918,2.2011,4.6729,9.5255,0,1.9635,1.8692,2.5884,4.0101,2.412
walking,-1.8304,-9.5155,-1.952,2.2705,4.6729,9.4751,0,1.9667,0,2.6672,3.8848,2.1952
walking,-1.7504,-9.5149,-1.9337,2.1581,4.6468,9.4953,0,1.9105,0,2.5941,3.8618,2.2364
walking,-1.7599,-9.5373,-1.8986,2.208,4.7081,9.5736,0,1.9504,1.8832,2.6809,3.9767,2.3206
walking,-1.8359,-9.5407,-1.9381,1.9491,4.6992,9.5842,0,1.9596,0,2.5747,4.0637,2.3693
walking,-1.858,-9.4799,-1.9767,2.2697,4.6729,9.4852,0,1.969,0,2.7718,3.7806,2.2109
walking,-1.6761,-9.4843,-1.8823,1.7187,0,9.504,0,1.8773,0,2.4911,3.503,2.0259
walking,-1.9385,-9.518,-2.0939,1.9466,0,9.5046,0,2.0808,0,2.6383,4.0433,2.2715
walking,-1.9778,-9.515,-1.9547,2.3017,4.6992,9.4957,0,1.9612,1.8797,2.8116,4.0688,2.3153
walking,-1.9328,-9.5643,-1.944,2.4186,4.6729,9.563,0,1.9904,1.8692,2.7518,4.0919,2.4232
walking,-1.945,-9.5296,-1.9308,2.0234,4.6816,9.5252,0,1.9726,1.8727,2.7423,4.0137,2.3656
walking,-1.9424,-9.5376,-1.9422,2.0341,4.6729,9.549,0,1.9656,0,2.7328,4.1046,2.3235
walking,-1.8914,-9.516,-1.9104,1.9164,0,9.5187,0,1.9398,1.8657,2.7584,4.066,2.4261
walking,-1.9561,-9.5716,-1.9636,2.1365,4.6816,9.5719,0,1.9645,0,2.7565,3.9077,2.3608
walking,-1.8709,-9.4734,-1.9118,1.8888,0,9.4514,0,1.9196,0,2.7815,3.901,2.4199
walking,-1.917,-9.5922,-1.9253,1.911,0,9.6268,0,1.9528,0,2.8867,4.118,2.4361
walking,-1.8786,-9.528,-1.9404,1.9127,4.6816,9.5405,0,1.9511,0,2.7538,4.1009,2.3394
walking,-1.6597,-9.5972,-1.8362,1.6393,0,9.6072,0,1.8077,0,2.5502,3.8418,2.1249
walking,-1.887,-9.555,-1.9389,2.1952,4.6816,9.5452,0,1.9342,0,2.8671,3.9702,2.41
walking,-1.8988,-9.5515,-1.9331,2.2837,4.717,9.5299,0,1.9335,1.8868,2.7573,4.144,2.3581
walking,-1.8798,-9.5553,-1.8911,2.3047,4.6816,9.5848,0,1.9408,1.8727,2.8876,4.3072,2.4039
walking,-1.8876,-9.5222,-2.0037,2.2254,4.6642,9.5031,0,2.0571,1.8657,2.7962,4.1793,2.406
walking,-1.8798,-9.5895,-1.9538,2.0851,4.6904,9.5755,0,1.98,1.8762,2.8206,4.203,2.4496
walking,-1.907,-9.558,-1.9543,2.0201,4.6816,9.5607,0,2.0174,1.8727,2.7877,4.4356,2.4777
walking,-1.867,-9.5502,-1.9809,2.1078,4.6992,9.5115,0,1.9818,0,2.9037,4.2301,2.536
walking,-1.8992,-9.6571,-1.8727,1.9011,0,9.642,0,1.9642,1.8622,2.7575,4.3391,2.6254
walking,-1.8373,-9.45,-1.9437,1.8946,4.8872,9.4567,0,1.9687,0,2.8721,4.1211,2.491
walking,-1.9177,-9.5009,-1.9003,1.9304,4.6904,9.494,0,1.9147,0,2.86,4.1864,2.5351
walking,-1.8018,-9.5561,-1.8142,1.7519,0,9.5495,0,1.8276,0,2.4539,3.8792,2.4122
walking,-2.036,-9.5617,-2.0089,2.0503,0,9.5939,0,2.0058,0,2.8794,4.009,2.5322
walking,-2.2302,-9.5857,-1.765,2.2098,0,9.5393,0,1.7905,0,2.6795,5.099,2.8541
walking,-2.2939,-9.5854,-1.8211,2.3279,0,9.5738,0,1.8457,0,2.7796,4.889,2.7392
walking,-2.4571,-9.4644,-1.8325,2.4633,0,9.4682,0,1.9432,1.8797,2.7425,4.9799,2.67
walking,-2.4887,-9.3595,-1.8687,2.526,0,9.3987,0,1.8832,0,2.5024,4.7873,2.5844
walking,-2.5386,-9.3911,-1.9202,2.5433,0,9.4425,0,2.0225,1.8832,2.7903,4.4372,2.6832
walking,-2.5896,-9.623,-1.8083,2.5947,0,9.5968,0,1.8389,0,2.7387,4.4869,2.6962
walking,-2.5517,-9.3209,-1.9035,2.5744,0,9.3145,0,1.8839,0,2.8454,4.6784,2.7008
walking,-2.632,-9.3689,-1.8848,2.6287,0,9.3161,0,1.8986,0,2.875,4.6114,2.6075
walking,-2.6929,-9.493,-1.8857,2.6843,0,9.4772,0,1.8935,0,2.7779,4.3883,2.7353
walking,-1.7386,-9.6096,-1.7971,1.7397,0,9.6163,0,1.8103,0,2.462,4.4639,2.4793
walking,-2.5673,-9.4384,-1.8329,2.5769,0,9.4256,0,1.8623,0,2.8496,4.7272,2.5925
walking,-2.6483,-9.3535,-1.8976,2.5967,0,9.326,0,1.9232,0,2.8423,4.4025,2.5123
walking,-2.6957,-9.5361,-1.9368,2.6753,0,9.5158,0,1.9286,0,2.8463,5.7222,2.9136
walking,-2.5757,-9.357,-1.9144,2.6693,4.9057,9.404,0,1.9865,1.8868,3.0819,4.6701,2.7181
walking,-2.6763,-9.3494,-1.9531,2.6541,0,9.3327,0,1.9564,0,2.8638,4.6287,2.6336
walking,-2.636,-9.4157,-1.9405,2.6125,0,9.3813,0,2.1315,1.9169,2.7473,4.6591,2.6563
walking,-1.8154,-9.5932,-1.7799,1.8141,0,9.5319,0,1.7966,0,2.4862,4.4177,2.3782
walking,-1.8251,-9.6314,-1.8485,1.8352,0,9.5892,0,1.8399,0,2.6812,4.7185,2.6078
walking,-0.60828,-9.6975,-1.9143,1.5251,4.6739,9.7241,0,1.9145,0,2.8949,3.9619,2.2476
walking,-0.26506,-9.8124,-1.686,1.3724,2.0113,9.8026,0,2.1081,2.0113,3.5111,6.603,3.0463
